data_set_id,primary_injection_structure_id,primary_injection_structure_acronym,secondary_injection_structure_id,secondary_injection_acronym,mouse_line_name,grid_file_url,projection_structure_unionizes_file_url
297892843,714,ORB,"{714,972}","{ORB,PL}",Chrna2-Cre_OE25,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297892843_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297892843_projection_structure_unionizes.csv
297894255,382,CA1,{382},{CA1},Chrna2-Cre_OE25,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297894255_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297894255_projection_structure_unionizes.csv
297945448,378,SSs,{378},{SSs},Chrna2-Cre_OE25,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297945448_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297945448_projection_structure_unionizes.csv
297946154,394,VISam,"{394,22}","{VISam,PTLp}",Chrna2-Cre_OE25,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297946154_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297946154_projection_structure_unionizes.csv
297946935,985,MOp,"{985,993}","{MOp,MOs}",Sim1-Cre_KJ18,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297946935_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297946935_projection_structure_unionizes.csv
297947641,993,MOs,{993},{MOs},Sim1-Cre_KJ18,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297947641_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297947641_projection_structure_unionizes.csv
297948420,329,SSp-bfd,"{345,329}","{SSp-m,SSp-bfd}",Sim1-Cre_KJ18,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297948420_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297948420_projection_structure_unionizes.csv
297951732,369,SSp-ul,"{337,369}","{SSp-ll,SSp-ul}",Sim1-Cre_KJ18,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297951732_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297951732_projection_structure_unionizes.csv
297985755,329,SSp-bfd,"{329,378}","{SSp-bfd,SSs}",Sim1-Cre_KJ18,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297985755_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297985755_projection_structure_unionizes.csv
297987980,985,MOp,"{993,985}","{MOs,MOp}",Chrnb4-Cre_OL57,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297987980_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/297987980_projection_structure_unionizes.csv
298000163,993,MOs,{993},{MOs},Chrnb4-Cre_OL57,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/298000163_grid.zip,http://download.alleninstitute.org/informatics-archive/october-2014/mouse_projection/02/298000163_projection_structure_unionizes.csv
